iter	Passed	Remaining
741	59745	20773
742	59808	20687
743	59866	20599
744	59921	20509
745	59974	20420
746	60089	20351
747	60154	20265
748	60214	20178
749	60274	20091
750	60330	20003
751	60393	19917
752	60458	19831
753	60514	19743
754	60578	19657
755	60642	19572
756	60712	19488
757	60771	19401
758	60826	19313
759	60885	19226
760	60949	19141
761	61010	19055
762	61076	18971
763	61139	18886
764	61202	18800
765	61259	18713
766	61319	18627
767	61378	18541
768	61442	18456
769	61506	18372
770	61572	18288
771	61643	18205
772	61713	18122
773	61770	18036
774	61834	17951
775	61909	17870
776	61969	17785
777	62031	17700
778	62093	17615
779	62164	17533
780	62228	17449
781	62343	17379
782	62404	17294
783	62472	17211
784	62529	17125
785	62593	17041
786	62656	16957
787	62725	16875
788	62787	16790
789	62850	16707
790	62921	16625
791	62986	16541
792	63053	16459
793	63122	16376
794	63205	16298
795	63297	16221
796	63449	16160
797	63536	16083
798	63611	16002
799	63690	15922
800	63778	15845
801	63912	15778
802	64067	15717
803	64231	15658
804	64373	15593
805	64528	15531
806	64669	15466
807	64777	15392
808	64900	15322
809	65037	15255
810	65156	15184
811	65291	15116
812	65426	15048
813	65538	14975
814	65656	14903
815	65790	14835
816	65909	14762
817	66030	14691
818	66153	14620
819	66296	14552
820	66439	14485
821	66544	14409
822	66675	14339
823	66794	14266
824	66919	14195
825	67110	14137
826	67246	14067
827	67359	13992
828	67484	13920
829	67597	13845
830	67714	13771
831	67831	13696
832	67951	13623
833	68074	13549
834	68192	13475
835	68313	13401
836	68430	13326
837	68594	13260
838	68704	13183
839	68841	13112
840	68970	13039
841	69086	12963
842	69205	12888
843	69369	12821
844	69463	12741
845	69524	12655
846	69585	12569
847	69641	12482
848	69701	12396
849	69763	12311
850	69821	12224
851	69882	12139
852	69943	12053
853	70014	11969
854	70072	11883
855	70128	11797
856	70185	11711
857	70247	11625
858	70309	11540
859	70369	11455
860	70434	11370
861	70517	11289
862	70579	11204
863	70637	11118
864	70697	11033
865	70776	10951
866	70837	10866
867	70900	10782
868	70961	10697
869	71028	10613
870	71078	10527
871	71134	10441
872	71182	10355
873	71239	10270
874	71301	10185
875	71361	10101
876	71416	10016
877	71469	9930
878	71524	9845
879	71597	9763
880	71686	9682
881	71738	9597
882	71793	9512
883	71847	9427
884	71911	9344
885	71965	9259
886	72024	9175
887	72093	9092
888	72154	9009
889	72222	8926
890	72292	8843
891	72369	8762
892	72436	8679
893	72509	8597
894	72576	8514
895	72648	8432
896	72717	8349
897	72802	8269
898	72913	8191
899	73018	8113
900	73103	8032
901	73194	7952
902	73282	7871
903	73396	7794
904	73521	7717
905	73657	7642
906	73786	7565
907	74007	7498
908	74127	7420
909	74207	7339
910	74266	7255
911	74322	7171
912	74395	7089
913	74469	7006
914	74532	6923
915	74590	6840
916	74673	6758
917	74742	6676
918	74806	6593
919	74866	6510
920	74928	6427
921	75001	6345
922	75071	6262
923	75133	6179
924	75186	6096
925	75243	6012
926	75311	5930
927	75367	5847
928	75430	5764
929	75491	5682
930	75549	5599
931	75605	5516
932	75662	5433
933	75733	5351
934	75798	5269
935	75863	5187
936	75924	5104
937	75983	5022
938	76046	4940
939	76109	4858
940	76168	4775
941	76224	4693
942	76291	4611
943	76368	4530
944	76428	4448
945	76488	4366
946	76547	4284
947	76613	4202
948	76672	4120
949	76729	4038
950	76796	3956
951	76866	3875
952	76940	3794
953	77000	3712
954	77067	3631
955	77134	3550
956	77190	3468
957	77249	3386
958	77310	3305
959	77375	3223
960	77462	3143
961	77523	3062
962	77590	2981
963	77657	2900
964	77712	2818
965	77776	2737
966	77833	2656
967	77888	2574
968	77957	2494
969	78018	2412
970	78081	2331
971	78136	2250
972	78199	2169
973	78263	2089
974	78333	2008
975	78402	1927
976	78463	1847
977	78530	1766
978	78603	1686
979	78664	1605
980	78718	1524
981	78774	1443
982	78838	1363
983	78893	1282
984	78950	1202
985	79012	1121
986	79076	1041
987	79138	961
988	79200	880
989	79258	800
990	79372	720
991	79430	640
992	79494	560
993	79560	480
994	79620	400
995	79687	320
996	79755	239
997	79810	159
998	79867	79
999	79923	0
